day,date,title,scripture,verse,pdf_page
45,二月十四日,預先決定順服上帝的話,「但那落在好土裡的，就是人用誠實良善的心來聽，把道持守住，忍耐著結出果實。」,路加福音8:15（新譯本）,50
46,二月十五日,明智的人顧及別人的感受,「從天上來的智慧，首先是純潔的，其次是和平的，溫柔的，謙遜的，滿有恩慈和善果，沒有偏袒，沒有虛偽。」,雅各書3:17（新譯本）,51
47,二月十六日,上帝知曉一切,「在上帝面前任何受造之物都無法隱藏，萬物在他眼前赤露敞開，而我們要交賬的對象正是他。」,希伯來書4:13（新普及譯本）,52
48,二月十七日,相信上帝會供應,「既然上帝連自己的兒子都沒有留下，而是為我們眾人把他交了出來，他豈不會把其他一切都賜給我們嗎？」,羅馬書8:32（新普及譯本）,53
49,二月十八日,奉獻的心,「他十分成功；因為他所做的⋯每一件事，都是一心尋求上帝的旨意而做的。」,歷代志下31:21（現中修訂版）,54
50,二月十九日,你可以相信聖經,「我實在告訴你們，就是天地都消逝，上帝律法中最微小的細節也不會消逝，直到它的目的實現為止。」,馬太福音5:18（新普及譯本）,55
51,二月二十日,透過關係學習愛,「我希望能激勵你們的信心，也希望被你們的信心所激勵。這樣，我們各人就可以成為他人的祝福。」,羅馬書1:12（新普及譯本/NLT意譯）,56
52,二月二十一日,上帝就是盼望,「願上帝，就是那希望的泉源，因著你們對他的信心，讓你們充滿各樣喜樂、平安，使你們的希望，藉著聖靈的能力，不斷增加。」,羅馬書15:13（現中修訂版）,57
53,二月二十二日,敬虔的習慣,「要付諸實行，你要全心全意地做這些事，讓大家都看到你的長進。」,提摩太前書4:15（當代譯本/GW意譯）,58
54,二月二十三日,上帝賜予的勇氣,「因為上帝所賜的聖靈，並不是要你害怕人，而是要你有智慧、有力量、愛護他們，並享受與他們一起。」,提摩太後書1:7（TLB意譯）,59
55,二月二十四日,上帝對孤單的人有甚麼看法？,「他被藐視，被人拒絕，是個多受痛苦，熟悉病患的人。他像個被人掩面不看的人一樣；他被藐視，我們也不重視他。」,以賽亞書53:3（新譯本）,60
56,二月二十五日,基督的身體需要你,「你們所有人在一起就成為基督的身體，每個人都是這身體上的一部分。」,哥林多前書12:27（新普及譯本）,61
57,二月二十六日,相信上帝會保護你,「在我敵人面前，你為我擺設筵席，你用油膏了我的頭。」,詩篇23:5（現代標點和合本）,62
58,二月二十七日,讓耶穌減輕你的負擔,「你們所有勞苦擔重擔的人哪，到我這裡來吧！我必使你們得安息。我心裡柔和謙卑，你們應當負我的軛，向我學習，你們就必得著心靈的安息；我的軛是容易負的，我的擔子是輕省的。」,馬太福音11:28-30（新譯本）,63
59,二月二十八日,你的苦難彰顯了上帝的目的,「每逢我們遇到苦難，他都安慰我們，好讓我們也能夠安慰別人。在別人遇到苦難時，我們能夠用上帝給我們的安慰去安慰他們。甚至可以說，我們受苦難纏累，就是為了讓你們得到安慰和拯救！因為我們一旦得到安慰，就一定會安慰你們。這樣，你們便能耐心地忍受我們所受的苦難。」,"哥林多後書1:4,6（新普及譯本）",64
60,三月一日,真理的道,「他按自己的旨意，藉著真理的道生了我們。」,雅各書1:18（新漢語譯本）,66
61,三月二日,敬拜不是尋求一種感覺,「但我往東去，他不在那裏；我往西去，也找不到他；我在北邊看不見他，他隱藏了起來；我朝南張望，他掩藏不見了。但他知道我要去哪裏。」,約伯記23:8-10（新普及譯本）,67
62,三月三日,不要害怕幽暗,「我縱然走過最黑暗的幽谷，也不懼怕，因為你就在我身旁，你的竿、你的杖都保護我，安慰我。」,詩篇23:4（新普及譯本）,68
63,三月四日,謹慎思考,「所思所想要謹慎，因為生命是由思想定型的。」,箴言4:23（現中修訂版）,69
64,三月五日,悲傷並不是結局,「我的肉體和我的心腸衰殘；但上帝是我心裡的力量，又是我的福分，直到永遠。」,詩篇73:26（和合本上帝版）,70
65,三月六日,決定真理,「我從你的法則中得到智慧，我厭惡一切詭詐之道。」,詩篇119:104（當代譯本）,71
66,三月七日,上帝藉著其他人給你忠告,「義人向朋友提出忠告，惡人引朋友步入歧途。」,箴言12:26（新普及譯本）,72
67,三月八日,學習隨時禱告,「要常常喜樂，不住地禱告，在任何情況下都要感恩。」,帖撒羅尼迦前書5:16-18（新普及譯本）,73
68,三月九日,權衡得失,「明白事理的，不輕易發怒；急躁易怒的，盡顯愚昧。」,箴言14:29（新普及譯本）,74
69,三月十日,沒有藉口不休息,「你六日要工作，但第七天你要休息，在耕種和收割的時候，也要休息。」,出埃及記34:21（新譯本）,75
70,三月十一日,用正確的方式來敬拜上帝,「真正敬拜的人，要在心靈和真理中敬拜父，父也在尋找這樣敬拜他的人。」,約翰福音4:23（新普及譯本）,76
71,三月十二日,專心致志的力量,「周詳計劃、勤奮工作，使人富足；草率行事、專走捷徑，使人貧窮。」,箴言21:5（新普及譯本）,77
72,三月十三日,你們蒙召是要得自由,「弟兄們，你們蒙召是要得自由。」,加拉太書5:13（現代標點和合本）,78
73,三月十四日,相信上帝會給你所需的幫助,「那人説：『天快要亮了，讓我走吧！』但是雅各説：『除非你給我祝福，不然我不讓你走。』」,創世記32:26（新普及譯本）,79
74,三月十五日,用你的言語去造就人,「壞話一句都不可出口，倒要按著需要，説造就人的好話，使聽見的人得益處。」,以弗所書4:29（新漢語譯本）,80
75,三月十六日,耶穌最後的禱告,「『我的心被憂傷壓碎，幾乎要死。』他（耶穌）向前走了不遠，就俯伏在地上禱告説：『我父啊！如果可能，請拿走這苦難的杯吧！可是，不要按我的意願，只要照你的旨意。』⋯⋯耶穌第二次離開他們去禱告，説：『我父啊！如果這杯不能拿走，一定要我喝，那就願你的旨意成就。』」,"馬太福音26:38-39,42（新普及譯本）",81
76,三月十七日,救恩是要接受的禮物,「人人都需要藉著上帝白白賜下恩典而與祂和好，每個人都需要藉著耶穌基督脱離罪惡。」,羅馬書3:24（NCV意譯）,82
77,三月十八日,持守正直,「行正直路的，步步安穩；走彎曲道的，必致敗露。」,箴言10:9（和合本上帝版）,83
78,三月十九日,你聽從誰的聲音？,「於是挪亞就照著上帝的吩咐一一辦妥了。」,創世記6:22（新普及譯本）,84
79,三月二十日,多種的多收,「『少種的少收，多種的多收』⋯⋯上帝能將各樣的恩惠多多地加給你們，使你們凡事常常充足，能多行各樣善事。」,"哥林多後書9:6,8（和合本上帝版）",85
80,三月二十一日,活出精彩人生,「所以，你們行事為人要謹慎；不要像沒有智慧的人，要像有智慧的人，好好把握時機，因為現今的日子邪惡——因此，你們不要作愚昧人，要領悟主的旨意是甚麼。」,以弗所書5:15-17（新漢語譯本）,86
81,三月二十二日,感謝可以減輕你的壓力,「凡事謝恩，因為這是上帝在基督耶穌裏向你們所定的旨意。」,帖撒羅尼迦前書5:18（和合本上帝版）,87
82,三月二十三日,會造就你的朋友,「你們不要給説這種話的人愚弄了，因為『近朱者赤，近墨者黑』！」,哥林多前書15:33（新普及譯本）,88
83,三月二十四日,與別人一起敬拜,「不可像某些人那樣忽略聚會，倒要彼此鼓勵，特別是主再來的日子越來越近了。」,希伯來書10:25（新普及譯本）,89
84,三月二十五日,生命不因死亡而終止,「上帝的靈曾使耶穌從死人中復活，這靈就住在你們裏面；而且正如上帝使基督耶穌從死人中復活一樣，他也會藉著住在你們裏面的這同一位聖靈，把生命賜給你們必死的身體。」,羅馬書8:11（新普及譯本）,90
85,三月二十六日,不只是聽見,「凡聽了我這些話又遵行的人，就像一個聰明人把房子建在磐石上。」,馬太福音7:24（新漢語譯本）,91
86,三月二十七日,唯獨上帝的看法才重要,「因著作基督徒而受苦並不是恥辱；你們被稱為上帝名下的人，你們要為了這份殊榮讚美他！」,彼得前書4:16（新普及譯本）,92
87,三月二十八日,苦難使你變得更像耶穌,「那些按照神旨意而受苦的人，在繼續行善的同時，要把自己的生命交給那信實的創造者。」,彼得前書4:19（新漢語譯本）,93
88,三月二十九日,分享有助你療傷,「我藏起心事的時候，內心深處感到疲憊，終日悲嘆。」,詩篇32:3（NCV意譯）,94
89,三月三十日,除掉負面的自我對話,「你要使所有信靠你和專心仰望你的人全然平安！」,以賽亞書26:3（新普及譯本）,95
90,三月三十一日,上帝要祝福你的事業,「你們要以追求上帝的國為最重要的事，過公義的生活，他就會賜你們一切所需要的。」,馬太福音6:33（新普及譯本）,96
91,四月一日,增強你的信心,「你們要堅立自己，好讓你在世的日子遵行上帝的旨意，而不是滿足人們邪惡的慾望。」,彼得前書4:2（NCV意譯）,98
92,四月二日,照你原來的樣子,「然而，在我們還是罪人的時候，上帝就差遣基督為我們捨命，顯明了他對我們的大愛。」,羅馬書5:8（新普及譯本）,99
93,四月三日,你可以倚靠上帝的大能,「我們學會不再倚靠自己，而是單單倚靠使死人復活的上帝。」,哥林多後書1:9（新普及譯本）,100
94,四月四日,救贖之門,「我就是門，凡是通過我進來的，必定得救。」,約翰福音10:9（新普及譯本）,101
95,四月五日,為上帝恩待別人而欣喜,「要跟喜樂的人一同喜樂，跟哭泣的人一同哭泣。」,羅馬書12:15（新普及譯本）,102
96,四月六日,上帝會建立你的信心,「主啊，我信，求你幫助我信心不足的地方！」,馬可福音9:24（NKJV意譯）,103
97,四月七日,怎樣處理你的感覺,「讓人性掌管自己，就會引向死亡；讓聖靈掌管自己，就會引向生命和平安⋯那些順應自己本性的人，不能討上帝的喜悦。」,"羅馬書8:6,8（GNT意譯）",104
98,四月八日,真理是永恆的,「天地會消逝，我的話卻永不消逝。」,馬太福音24:35（新普及譯本）,105
99,四月九日,門徒要遵守上帝的話語,「如果你們忠於我的教導，就真是我的門徒了。」,約翰福音8:31（新普及譯本）,106
100,四月十日,釋放你的悲傷,「向他傾心吐意，因上帝是我們的避難所。」,詩篇62:8（新普及譯本）,107
101,四月十一日,改變你自己,「相反，願我們省察自己的道路，願我們回轉歸向上主。」,耶利米哀歌3:40（新普及譯本）,108
102,四月十二日,上帝呼召你以德報怨,「愚昧人把怒氣盡情發洩，智慧人卻抑制怒氣。」,箴言29:11（新譯本）,109
103,四月十三日,睜開你的眼睛,「求你開我的眼睛，使我能看出你律法的奇妙。」,詩篇119:18（新譯本）,110
104,四月十四日,不要自欺欺人,「你們必須遵行上帝的道，不要只是聽，否則就是自欺。」,雅各書1:22（新普及譯本）,111
105,四月十五日,你要聽見上帝的話嗎？,「我要登上瞭望塔，站在我的崗位上，在那裏等待，看上主要説甚麼，看他怎樣回應我。」,哈巴谷書2:1（新普及譯本）,112
106,四月十六日,讓上帝的愛救你脫離恐懼,「求你使我所怕的辱罵遠離我；⋯我要謹守你的命令；⋯上主啊，求你向我顯明你的慈愛；求你照你的應許拯救我。我就能夠回答侮辱我的人。」,詩篇119:39-42（現中修訂版）,113
107,四月十七日,屬靈力量的靈糧,「我就是生命的糧⋯我是從天上降下來生命的糧。」,"約翰福音6:48,51（和合本上帝版）",114
108,四月十八日,選擇寬恕，而不是閒言閒語,「沒有木柴，火便熄滅；止住流言，爭吵便平息。」,箴言26:20（新普及譯本）,115
109,四月十九日,不要再假裝了,「怕人批評有危險；信靠上主得安寧。」,箴言29:25（現中修訂版）,116
110,四月二十日,直到世界盡頭,「除非我將生命用於主耶穌委派給我的工作，就是向人傳揚上帝偉大慈愛的福音。不然，生命是毫無價值的。」,使徒行傳20:24（TLB意譯）,117
111,四月二十一日,選擇信心，而非恐懼,「那個星期日晚上，門徒聚集在一起，把門都鎖上了，因為他們害怕猶太人的領袖。忽然，耶穌竟站在他們當中！耶穌説：『願你們平安。』」,約翰福音20:19（新普及譯本）,118
112,四月二十二日,你委身於甚麼，便塑造了你的生命,「既然我們周圍的一切都將要融化，那麼，我們應該過著多麼聖潔、敬虔的生命！」,彼得後書3:11（TLB意譯）,119
113,四月二十三日,不被定罪,「那些屬於基督耶穌的人就不被定罪了。」,羅馬書8:1（新普及譯本）,120
114,四月二十四日,你的根基是甚麼？,「我照著神賜給我的恩典，就像一個聰明的工程師，立好了根基，別人在上面建造。各人要注意怎樣在上面建造，因為除了那已經立好的根基以外，沒有人能立別的根基。那根基就是耶穌基督。如果有人用金、銀、寶石、草、木、禾稭，在這根基上建造，各人的工程將來必要顯露。」,哥林多前書3:10-13（新譯本）,121
115,四月二十五日,學會識別真理,「庇哩亞人比帖撒羅尼迦人思想開明，他們熱切地聆聽保羅講的話，天天查考聖經，要看看保羅和西拉所教導的是不是真理。」,使徒行傳17:11（新普及譯本）,122
116,四月二十六日,熬煉的火,「我已經煉淨你們，但和熬煉銀子不同，我用苦難的熔爐煉淨你們。」,以賽亞書48:10（新普及譯本）,123
117,四月二十七日,得釋放,「忽然發生大地震，連牢房的根基也搖動。所有監門立時打開，各人的鎖鏈都鬆開了。」,使徒行傳16:26（新漢語譯本）,124
118,四月二十八日,你的勇氣是如何增長的,「你絕不要因為向人傳講我們的主而感到羞恥⋯藉著上帝賜給你的力量，你要準備為福音的緣故跟我一同受苦。」,提摩太後書1:8（新普及譯本）,125
119,四月二十九日,智慧維護和平,「愚昧人四處掀起紛爭，智慧人盡力維護和平。」,箴言29:8（TLB意譯）,126
120,四月三十日,親身體會上帝的話語,「我確信，上帝既然在你們心中開始了這美善的工作，就必定會繼續下去，直到這工作最終完成的一天，也就是基督耶穌再來的那天。」,腓立比書1:6（新普及譯本）,127
121,五月一日,與上帝相聚的靈修時間,「殷勤人的籌劃必使他獲利；行事急躁的必致貧窮。」,箴言21:5（新譯本）,129
122,五月二日,有信心地禱告,「因上主是美善的，他的慈愛永遠長存，他的信實直到萬代。」,詩篇100:5（新普及譯本）,130
123,五月三日,完美主義會窒礙潛能,「如果你要等到萬事俱備，你就永遠一事無成。」,傳道書11:4（TLB意譯）,131
124,五月四日,回轉歸向上帝,「你已經不像起初那樣愛我，也不像起初那樣彼此相愛了！看看你已經墮落到甚麼地步！你要回轉歸向我，做你起初所做的。」,啟示錄2:4-5（新普及譯本）,132
125,五月五日,每個決定都有代價,「人冒失説，這是聖物，許願之後才查問，就是自陷網羅。」,箴言20:25（和合本上帝版）,133
126,五月六日,凡事都先求上帝的智慧,「自以為是的人，就是愚昧；憑上帝的智慧行事的，必得平安。」,箴言28:26（TLB意譯）,134
127,五月七日,上帝常在你生命裏作工,「我們知道上帝使萬事一同效力，讓那些愛上帝，又按他旨意蒙召的人得益處。」,羅馬書8:28（新普及譯本）,135
128,五月八日,祝福反對你們的人,「要愛你們的敵人！善待憎恨你們的人，祝福詛咒你們的人，為傷害你們的人禱告。如果有人打你這邊臉，把另一邊臉也讓他打；如果有人要拿走你的外衣，連襯衫也讓他拿去。」,路加福音6:27-29（新普及譯本）,136
129,五月九日,上帝會祝福怎樣的目標？,「無論你們吃甚麼、喝甚麼、做甚麼，都要為尊崇上帝而做。」,哥林多前書10:31（CEV意譯）,137
130,五月十日,與美善的上帝傾談,「因上主是美善的，他的慈愛永遠長存，他的信實直到萬代。」,詩篇100:5（新普及譯本）,138
131,五月十一日,知識是需要行動的,「要記着，人明明知道該做甚麼卻不去做，便是犯罪了。」,雅各書4:17（新普及譯本）,139
132,五月十二日,放開你的傷痛,「你們要寬容彼此的過錯，饒恕得罪你們的人。要記住，主已經饒恕了你們，你們也必須饒恕別人。」,歌羅西書3:13（新普及譯本）,140
133,五月十三日,上帝從不著急,「在任何事情上，不要試圖貿然離開。要讓這些事情發揮作用，使你變得成熟和完全。」,雅各書1:4（信息本意譯）,141
134,五月十四日,解決問題，而不是責備,「你若希望享受人生，並擁有許多幸福的日子，就要禁止舌頭説惡言，禁止嘴唇説謊話。」,彼得前書3:10（新普及譯本）,142
135,五月十五日,勇敢地面對恐懼,「主啊！現在求你聽聽他們威嚇的話，賜給我們——你的奴僕——有極大的膽量去傳講你的道。」,使徒行傳4:29（新普及譯本）,143
136,五月十六日,只有上帝才能釋放你的潛質,「然而我能有今天，全因為上帝把特別的恩惠傾注在我身上，而這並不是徒然的。因為我工作得比其他任何使徒更辛勞；但這不是我在做，而是上帝以他的恩典通過我在工作。」,哥林多前書15:10（新普及譯本）,144
137,五月十七日,完美無瑕,「至於上帝，他的道是完美的；耶和華的話是無瑕的。凡投靠他的，他便作他們的盾牌。」,詩篇18:30（NIV意譯）,145
138,五月十八日,為你的人生目的禱告,「上主説：『我知道我為你們所定的計劃，我對你有美好的計劃，而不是計劃要傷害你，為要帶給你們盼望和美好的將來。你們要呼求我，要來向我禱告，我就傾聽。』」,耶利米書29:11-12（NCV意譯）,146
139,五月十九日,上帝使我們一步一步地成長,「就是要除掉『舊人』；這『舊人』屬於你們過去的生活方式，順從着迷惑人心的私慾，日漸腐化；又要在心思意念上更新，並要穿上『新人』——這『新人』是照着神的形像創造的，有從真理而來的公義和聖潔。」,以弗所書4:22-24（新漢語譯本）,147
140,五月二十日,將耶穌所揭露的一切交給祂,「如果有人願意跟從我，就當捨己，天天背起他的十字架來跟從我。凡是想救自己生命的，必喪掉生命；但為我犧牲自己生命的，必救了生命。」,路加福音9:23-24（新譯本）,148
141,五月二十一日,你的選擇支配了你的時間表,「我們每個人都要為自己的行為負責。」,加拉太書6:5（新普及譯本）,149
142,五月二十二日,當你感到疲累，要信靠上帝,「但那信靠上主的將重新得力，他們要如鷹展翅高飛，他們奔跑不會疲倦，行走不會昏累。」,以賽亞書40:31（新普及譯本）,150
143,五月二十三日,讓上帝引導你,「為了自己的名，他引導我走義路。」,詩篇23:3（新譯本）,151
144,五月二十四日,在上帝的話語中找到自由,「你們必認識真理，真理必使你們自由。」,約翰福音8:32（新漢語譯本）,152
145,五月二十五日,因信稱義,「我們既因信稱義，就藉著我們的主耶穌基督得與上帝相和。」,羅馬書5:1（和合本上帝版）,153
146,五月二十六日,誰需要得到你殷勤款待呢？,「[哥尼流]是個既虔誠又敬畏上帝的人，他所有的家人也都如此。他慷慨地賙濟窮人，並常常向上帝禱告。」,使徒行傳10:2（新普及譯本）,154
147,五月二十七日,改變需要有新的思想,「讓聖靈更新你們的思想和心態。」,以弗所書4:23（新普及譯本）,155
148,五月二十八日,完全信靠上帝,「要完全信靠上主，不可倚仗自己的聰明。」,箴言3:5（新普及譯本）,156
149,五月二十九日,在患難的日子，呼求上帝,「在患難的日子，你呼求我。我必搭救你，你也必尊敬我。」,詩篇50:15（新譯本）,157
150,五月三十日,你是由上帝所造，亦是為上帝而造的,「這些人當中，有些錯失了人生最重要的事——他們不認識上帝。」,提摩太前書6:21（TLB意譯）,158
151,五月三十一日,驕傲是具有破壞性的,「愛是⋯永不自誇或驕傲。」,哥林多前書13:4（TLB意譯）,159
152,六月一日,上帝在乎你的理財方式,「一個人在小事上靠得住，在大事上也靠得住；一個人在小事上不誠實，在大事上也不誠實。如果你們在處理今世的錢財上靠不住，誰又會把那真實的財富付託你們呢？」,路加福音16:10-11（現中修訂版）,161
153,六月二日,上帝的靈在你裏面工作,「因為上帝正在你們裏面工作，給你們意願和能力做他所喜悅的事。」,腓立比書2:13（新普及譯本）,162
154,六月三日,哀傷可以帶來好處,「凡事都有定期，天下萬事都有定時。⋯哭有時，笑有時；悲痛有時，跳舞有時。」,"傳道書3:1,4（新普及譯本）",163
155,六月四日,學會説「不」,「就讓我們除掉所有拖累我們的重負，尤其是那極易令我們跌倒的罪。讓我們堅忍地奔跑上帝擺在我們前面的賽程。」,希伯來書12:1（新普及譯本）,164
156,六月五日,投入真理,「你們必須繼續相信這個真理，並在這個真理上堅定不移。你們不要偏離從前聽見福音時所得到的保證。」,歌羅西書1:23（新普及譯本）,165
157,六月六日,以上帝愛你的方式去愛別人,「愛是永不停止忍耐，永不停止相信，永不停止盼望，永不放棄。」,哥林多前書13:7（GW意譯）,166
